dol_vehicle_id,electric_utility
277038394,CITY OF TACOMA - (WA)
145854334,PUGET SOUND ENERGY INC
161039476,PUGET SOUND ENERGY INC
161039476,CITY OF TACOMA - (WA)
175316207,PACIFICORP
180884343,PUGET SOUND ENERGY INC
274508916,PUGET SOUND ENERGY INC
120409712,PUGET SOUND ENERGY INC
148972407,PUGET SOUND ENERGY INC
276354193,PUGET SOUND ENERGY INC
252422509,PACIFICORP
256328579,PUGET SOUND ENERGY INC
224677631,PUGET SOUND ENERGY INC
475003259,PUGET SOUND ENERGY INC
476113144,NO KNOWN ELECTRIC UTILITY SERVICE
3610771,PUGET SOUND ENERGY INC
3610771,CITY OF TACOMA - (WA)
238217045,PUGET SOUND ENERGY INC
280679276,PUGET SOUND ENERGY INC
261732096,CITY OF SEATTLE - (WA)
261732096,CITY OF TACOMA - (WA)
245648259,PUGET SOUND ENERGY INC
221819860,PUGET SOUND ENERGY INC
261858922,PUGET SOUND ENERGY INC
264761234,PUGET SOUND ENERGY INC
264761234,CITY OF TACOMA - (WA)
236265263,PUGET SOUND ENERGY INC
260478459,PUGET SOUND ENERGY INC
172050560,PUGET SOUND ENERGY INC
172050560,PUD NO 1 OF WHATCOM COUNTY
9346221,PUGET SOUND ENERGY INC
2761132,PUGET SOUND ENERGY INC
110249415,PACIFICORP
135679274,PUGET SOUND ENERGY INC
135679274,CITY OF TACOMA - (WA)
